ss       bias         sd      rmse  cp
100  0.2176568 0.04870367 0.2219733 1.0
100 -0.1726138 0.03243142 0.1750342 1.0
100  0.2414695 0.05699347 0.2467917 0.6
100 -0.1830287 0.03338206 0.1854481 0.2
200  0.2185792 0.03635891 0.2209851 1.0
200 -0.1680052 0.02312833 0.1692740 1.0
200  0.2109346 0.03705258 0.2135222 0.2
200 -0.2023895 0.02050135 0.2032185 0.0
300  0.2318010 0.02258316 0.2326794 1.0
300 -0.2047026 0.03474096 0.2070476 1.0
300  0.2079474 0.03352370 0.2100981 0.0
300 -0.2053906 0.03410668 0.2076437 0.0
400  0.2307669 0.01522498 0.2311683 1.0
400 -0.1967474 0.02871339 0.1984165 1.0
400  0.2298331 0.01432596 0.2301900 0.0
400 -0.1981208 0.03623098 0.2007536 0.0
500  0.2327225 0.01532587 0.2331258 1.0
500 -0.1881586 0.01212448 0.1884709 1.0
500  0.2247189 0.01874280 0.2253433 0.0
500 -0.2130679 0.02710649 0.2144428 0.0
